FW	0	2	32.7	76.5	0	0.3	0.3
d	0	0.7	46	76.8	0	6	0
m	4	3.3	68.7	87.9	1	4.7	1.3
m	0	3.3	41.7	89.6	1	1.3	0
d	0	1	46	80.4	0	2.3	0.3
d	0	0.7	54.7	91.5	0	4.7	0
d	0	0.5	62	78.2	0.5	3	0
m	4	2.7	39.3	86.4	0.3	0.3	0.3
m	0	1	79	86.9	0.3	6.3	0
m	1	2.3	37.3	79.5	0	1	0
m	1	0.3	46.3	66.9	0	2	0
m	1	1	56.3	82.8	0	1.7	0
d	0	0	53	77.4	0	0	0
d	0	0.3	48.7	86.3	1	1	0
FW	0	1	36.7	73.6	0.3	0	0
m	0	2	105	95.2	0	6	0
m	2	1	28	73.2	0	0	0.5
d	0	0.3	63.7	90.6	0	7.3	0
GK	0	0	30	58.9	0	9.3	0
d	1	1	36.7	84.5	0	1	0
d	1	1.3	41.3	89.5	0	1.3	0
d	0	0	54.3	89.6	0	2	0
m	2	1.3	51.3	85.1	1	2.7	0.3
d	0	0.5	65	90.8	0	4.5	0
FW	1	0.7	21.3	75	0	2.3	0
m	0	0	27.3	85.4	0.3	0	0
m	1	3	53.3	89.4	2	1.3	0.7
FW	0	1.3	39.7	82.4	0.3	0.3	0.7
m	0	0	53	89.3	0	3	0.3
d	0	1	38.5	79.2	1	2	0
m	0	0	7	71.4	0	1	0
m	0	1	54.5	85.3	0.5	0.5	0
m	0	0	15	80	1	0	0
m	1	2	47	86.5	1.7	2	0
d	0	0	62	88.7	0	10	0
m	0	0.3	55.7	84.4	0	3.3	0
FW	0	1	21.3	78.1	0.7	0	0.3
m	0	0	47.5	87.4	0	1.5	0
d	0	0	47.7	78.3	0	1	0
FW	0	0.5	21	92.9	0	0	0
m	0	2	97	85.9	0.3	4.7	0
m	0	1	71	85.9	1.7	4.3	0
d	0	0.3	55	82.4	0	1.7	0
d	0	0.3	66.7	90.5	0	4.3	0
m	0	4	52	84	2.3	6.7	0.3
d	0	0.5	37	89.2	1	1.5	0
d	1	0.7	33.7	82.2	0.3	1.3	0
d	0	0.3	47	84.4	0	0.7	0
d	0	0.3	47.7	80.4	0.3	1.3	0
d	0	0.7	33.7	77.2	0	3	0
d	0	0.3	28.7	70.9	0.7	0.7	0
d	0	0	47	83.7	0	3.3	0
m	0	2	34.3	78.6	2.7	5	0
d	0	0.3	42.7	80.5	0.3	7.3	0
d	0	3	38	84.2	1	1	0
m	0	2	60.3	85.6	1.3	7	0
d	0	0.3	40.3	85.1	0.3	2	0
m	1	2.7	40.3	81	2.7	0.3	0
m	0	1	30.5	91.8	0	0.5	0
d	0	0.7	30	62.2	0.7	1.7	0
GK	0	0	34.7	72.1	0	8.7	0
d	0	0	54	90.1	0	2	0
d	0	0.7	47.3	83.8	0	6	0
m	0	0.7	49.7	80.5	0	2.3	0
m	2	1	40.7	82	1	1.3	0
m	0	2	53.7	81.4	0.3	1.7	0
m	0	0	31	85.5	1	1	0
d	0	0.7	38.7	80.2	0.7	1.7	0
d	0	0.3	24.3	82.2	0	2	0
d	0	1	35	78.1	0.3	1.3	0
m	0	0.3	100	89	0	9.7	0
d	1	1	47.3	87.3	0.3	4	0
d	0	1	49	89.8	1	1	0
m	0	0.3	56.3	84.6	0	1.3	0
d	0	0.3	63	93.7	0	2.7	0
FW	0	0.7	19.7	74.6	0.3	0.3	0
FW	0	0.7	36	78.7	0.3	3.7	0
m	0	1.3	24	80.6	0.7	1.7	1
d	0	0	42.5	92.9	0	1.5	0
d	0	0	56.7	90.6	0	2	0
d	0	1	56.3	80.5	0	6	0
FW	0	1.3	36	72.2	0	0	0
FW	1	3.3	46	79	0.3	1	0
m	0	0	37	88.3	0.3	3.3	0
FW	0	0.7	25.7	75.3	0	1	0
m	1	2.5	31	85.5	0	1.5	0
FW	0	1.3	30.3	69.2	0	0.3	0
d	0	0	23	73.9	0	0	0
d	0	0.7	42	90.5	0.3	1.3	0
d	0	0	19	75.4	0	1.3	0
m	0	0.7	37.3	86.6	0.7	2	0
m	1	1.7	19.3	82.8	0.7	1	0
GK	0	0	29.7	31.5	0	6	0
d	0	1	25.7	74	0	1.7	0
d	0	0	37.5	97.3	0	0.5	0
m	0	0.7	56.3	85.2	0.3	6	0.3
m	0	2	22	81.8	0	0	0
m	1	1	26	57.7	1	0.5	0.5
FW	1	1.7	28	85.7	0	0.3	0
d	0	2	22	72.7	1	0	0
d	0	0	28	73.8	0	2.3	0
GK	0	0.3	33	37.4	0	11.3	0
d	0	0.7	38.7	85.3	0	1.3	0
m	0	0.5	60	89.2	0	2.5	0
d	0	0	92	80.4	0	3	0
d	0	0	53.5	90.7	0	3.5	0
d	0	0.7	38.7	73.3	0.3	5	0
m	0	0.7	51.3	83.8	0	4.7	0
d	0	0	37	89.2	0	1	0
d	0	0.7	54.3	88.3	0	5.3	0
d	0	0.5	48	75	0	3	0
d	0	0	31	86	0	5	0
m	0	0.7	28.7	69.8	0	0.3	0
d	1	0.3	41.3	87.9	0	1.3	0
d	0	0	51	77.8	0	3.7	0
d	0	0.5	19.5	89.7	0	1.5	0
FW	0	0.7	24.3	61.6	0	1.3	0
m	0	1	33	72.7	0	4	1
m	0	2.5	29.5	74.6	1.5	0	1
d	0	0.5	50.5	90.1	0	2	0
m	0	2.7	46.7	84.3	0.3	2	0
m	0	0	9.5	73.7	0	0	0
FW	1	0.7	27	79	0.3	0.7	0.3
d	0	0	72.7	83	0	7.3	0
